trial_id,original_trial_id,start,end,movement_onset,movement_end,target_x,target_y,maze_condition,split,n_bins,terminal_remainder_seconds
0,0,4.479266666666667,7.4741333333333335,5.681266666666667,6.111266666666666,114,91,1,1,59,0.04486666666666661
1,2,15.724266666666667,19.5197,17.456266666666668,17.996266666666667,-115,-100,17,0,75,0.04543333333333344
2,3,20.429266666666667,24.489133333333335,22.721266666666665,23.116266666666668,114,91,1,0,81,0.009866666666668245
3,4,30.114600000000003,34.1944,31.991600000000002,32.6216,-13,111,12,2,81,0.02979999999999894
4,7,45.20936666666667,48.664366666666666,46.631366666666665,47.10136666666667,-9,110,21,0,69,0.004999999999998117
5,8,50.61963333333333,54.73936666666667,52.63163333333333,53.176633333333335,121,-76,24,0,82,0.0197333333333356
6,9,55.58923333333333,59.21426666666667,57.241233333333334,57.701233333333334,-9,110,20,0,72,0.02503333333333435
7,10,59.89926666666667,63.69426666666667,61.61126666666667,62.13126666666667,-9,110,20,0,75,0.045000000000001705
8,11,64.28423333333333,67.20903333333334,65.34623333333333,65.76623333333333,-144,-52,4,1,58,0.024800000000004374
9,13,72.51923333333333,76.42423333333333,74.43623333333333,74.89123333333333,136,87,14,0,78,0.005000000000000782
10,15,82.04923333333333,85.5241,83.69123333333333,84.10123333333334,-136,-23,25,1,69,0.02486666666667059
11,17,93.05423333333334,96.3191,94.51623333333335,94.86623333333334,125,-18,7,0,65,0.014866666666662809
12,18,96.9642,101.42983333333333,99.2762,99.72120000000001,-136,-23,26,0,89,0.01563333333332917
13,19,102.34933333333333,106.72996666666667,104.38633333333334,104.98133333333334,-136,-23,27,0,87,0.030633333333335067
14,21,112.58423333333334,116.47406666666667,114.59623333333334,115.02623333333335,125,-18,7,0,77,0.03983333333332828
15,22,117.31920000000001,120.95906666666667,119.12120000000002,119.5112,121,-76,22,0,72,0.03986666666666272
16,23,121.82426666666667,125.81963333333334,123.60126666666667,124.19126666666668,125,-18,8,0,79,0.045366666666669
17,25,134.32420000000002,137.86416666666668,135.85620000000003,136.3512,114,91,2,0,70,0.0399666666666576
18,26,139.0542,142.3496,140.2262,140.74620000000002,125,-18,8,0,65,0.04540000000000077
19,27,151.4293,155.0093,152.8313,153.40630000000002,125,-18,9,0,71,0.029999999999983817
20,29,160.90916666666666,163.95896666666667,162.14616666666666,162.53116666666668,-115,-100,16,0,60,0.04980000000000473
21,30,164.78416666666666,168.66403333333335,166.89116666666666,167.22616666666667,-13,111,10,0,77,0.029866666666686026
22,31,169.44916666666668,173.9292,171.8011666666667,172.3661666666667,121,-76,23,0,89,0.03003333333332403
23,36,200.2942666666667,204.80426666666668,202.5762666666667,203.2012666666667,-144,-52,6,0,90,0.009999999999990905
24,37,205.67916666666667,209.78913333333335,207.63116666666667,208.25616666666667,-13,111,11,1,82,0.00996666666667867
25,38,210.70913333333334,213.70893333333333,211.89113333333333,212.29113333333333,-136,-23,25,0,59,0.04979999999999318
26,39,214.56413333333333,218.40393333333336,216.48613333333333,216.95613333333333,-144,-52,4,2,76,0.03980000000002493
27,44,241.96413333333334,245.22400000000002,243.37113333333335,243.79613333333333,136,87,13,0,65,0.009866666666681567
28,46,250.81423333333333,254.62990000000002,252.39623333333333,252.98123333333334,-136,-23,27,0,76,0.015666666666686258
29,48,267.01413333333335,270.8489666666667,269.00113333333337,269.40613333333334,136,87,13,0,76,0.03483333333333549
30,49,271.80913333333336,276.1191,274.0611333333334,274.6061333333334,-144,-52,5,2,86,0.00996666666663959
31,50,277.1041,280.2089,278.4211,278.7611,-9,110,19,0,62,0.004800000000011462
32,51,281.01910000000004,285.1639333333334,283.3011,283.70610000000005,-115,-100,16,0,82,0.0448333333333375
33,53,291.5142,295.9897666666667,293.6662,294.24620000000004,-115,-100,18,0,89,0.025566666666679616
34,55,302.77923333333337,306.8992,304.86623333333335,305.3312333333334,136,87,15,0,82,0.019966666666641153
35,60,343.0342,346.94416666666666,344.8612,345.4012,114,91,3,1,78,0.009966666666661794
36,64,369.55403333333334,373.8344666666667,371.5910333333333,372.2160333333333,125,-18,8,0,85,0.030433333333348855
37,68,399.40926666666667,402.7089,400.93626666666665,401.26126666666664,-13,111,10,0,65,0.04963333333336095
38,70,409.0191666666667,412.8491666666667,410.8061666666667,411.2811666666667,-9,110,21,0,76,0.029999999999983817
39,71,413.73403333333334,417.6138666666667,415.86603333333335,416.15603333333337,-9,110,19,0,77,0.029833333333351586
40,72,418.504,422.319,420.37600000000003,420.831,114,91,2,2,76,0.01499999999999746
41,73,435.3092666666667,439.39886666666666,437.5612666666667,437.9412666666667,125,-18,7,1,81,0.03959999999996189
42,74,440.274,444.209,442.126,442.686,125,-18,8,0,78,0.03500000000000192
43,75,445.09413333333333,449.5096666666667,447.1961333333333,447.84113333333335,125,-18,9,0,88,0.015533333333371147
44,76,450.23913333333337,454.3041,452.25113333333337,452.7361333333334,136,87,15,0,81,0.014966666666635042
45,79,465.464,469.624,467.556,468.081,136,87,14,0,83,0.010000000000024656
46,81,562.5189333333334,566.1839333333334,564.0059333333334,564.6509333333333,-144,-52,5,0,73,0.014999999999963265
47,84,580.1390666666667,583.6196,581.3460666666667,581.8960666666667,-115,-100,18,0,69,0.030533333333255364
48,86,589.2789333333334,592.6487666666667,590.8359333333334,591.2209333333334,-13,111,10,0,67,0.019833333333303838
49,87,601.2641333333333,605.5689,603.5661333333334,604.0361333333334,114,91,2,0,86,0.004766666666637498
50,88,608.8041333333333,612.8187666666666,611.0011333333333,611.3711333333333,136,87,13,0,80,0.01463333333333594
51,90,619.139,623.014,620.821,621.426,-144,-52,6,0,77,0.02499999999999991
52,91,623.9039,627.3537666666667,625.5609000000001,625.9009,114,91,1,2,68,0.04986666666670736
53,92,631.1990333333333,634.734,632.6910333333333,633.1760333333333,136,87,15,1,70,0.03496666666671899
54,93,635.6588666666667,639.8993,637.7058666666667,638.2808666666666,125,-18,8,0,84,0.04043333333338506
55,97,664.0790000000001,668.3190000000001,666.2860000000001,666.7710000000001,-9,110,21,0,84,0.04000000000000892
56,99,680.5441000000001,684.4436666666667,682.5911000000001,682.9861000000001,-144,-52,4,0,77,0.049566666666601034
57,100,686.3442333333334,691.0096333333333,688.6212333333334,689.2512333333334,-136,-23,27,0,93,0.015399999999976544
58,101,691.8589000000001,695.4636666666667,693.5909,694.0009000000001,-115,-100,16,0,72,0.004766666666591757
59,106,720.3838333333333,723.5388666666666,721.5108333333333,722.0158333333333,-9,110,20,0,63,0.0050333333333352215
60,112,750.6788333333334,753.7886666666667,751.9408333333333,752.3358333333334,136,87,13,0,62,0.009833333333312932
61,117,778.3638000000001,781.9338,779.9158000000001,780.4008000000001,136,87,14,2,71,0.01999999999993607
62,118,782.9339,786.5089,784.4909,784.9559,114,91,3,0,71,0.02500000000004521
63,119,787.3488,791.8694333333334,789.5058,790.1608,-136,-23,26,0,90,0.020633333333421433
64,120,799.4238,802.5085666666668,800.6458,801.0608,-144,-52,4,0,61,0.034766666666723456
65,121,803.2737666666667,807.1638,805.2157666666667,805.6607666666666,-9,110,20,2,77,0.04003333333334913
66,122,808.1187666666667,811.6186333333334,809.7607666666668,810.1657666666667,-9,110,19,0,69,0.04986666666666206
67,123,815.0290333333334,818.4936333333334,816.6560333333333,817.0360333333333,136,87,13,0,69,0.014600000000018376
68,124,819.4338,823.3836333333334,821.6258,821.9608000000001,-13,111,10,0,78,0.0498333333333445
69,125,824.4389,827.7138666666667,825.6559,826.1509,136,87,15,0,65,0.024966666666728088
70,126,828.5588,832.4937666666667,830.3358000000001,830.9708,-13,111,11,1,78,0.0349666666666959
71,127,833.4037666666667,836.9636,835.1757666666667,835.5107666666667,-9,110,19,0,71,0.00983333333335823
72,130,847.7437666666667,851.4786,849.6557666666668,850.0407666666667,125,-18,7,0,74,0.034833333333312844
73,131,852.5139,856.7738666666667,854.6059,855.1859000000001,121,-76,24,0,85,0.009966666666628043
74,134,868.2387666666667,871.8385333333334,870.0007666666667,870.4157666666667,-115,-100,16,0,71,0.04976666666670981
75,136,879.2037333333334,883.3992000000001,881.2257333333334,881.7657333333334,-115,-100,17,0,83,0.04546666666667498
76,137,893.8891333333333,897.5088333333334,895.2611333333333,895.9411333333334,-13,111,12,0,72,0.019700000000079765
77,139,903.3787333333333,906.9785,905.0657333333334,905.5207333333334,-136,-23,25,0,71,0.04976666666670981
78,141,912.3338333333334,916.7444,914.4658333333333,915.0108333333334,-115,-100,18,0,88,0.010566666666681712
79,142,917.6538333333334,921.5238,919.3058333333335,919.9658333333334,125,-18,9,0,77,0.019966666666641597
80,143,922.4187333333334,926.2885666666667,924.4457333333335,924.8657333333334,121,-76,22,1,77,0.019833333333303838
81,144,927.2087,931.1687333333334,929.1307,929.6107000000001,121,-76,23,0,79,0.010033333333399064
82,147,950.3938333333334,954.4788000000001,952.3708333333334,952.9358333333334,114,91,3,1,81,0.034966666666673696
83,148,955.3037,959.2134666666667,957.4157,957.7857,-144,-52,4,0,78,0.009766666666655155
84,150,968.4636666666668,971.6837,969.6606666666668,970.1506666666668,-9,110,20,0,64,0.020033333333276282
85,151,974.9140333333334,979.3088,977.0960333333334,977.7360333333334,-13,111,12,0,87,0.04476666666666862
86,153,988.1739333333334,991.9784666666667,990.1159333333334,990.5309333333333,-136,-23,25,0,76,0.004533333333324396
87,154,993.6439333333334,997.8836666666667,995.8159333333334,996.3559333333334,-144,-52,5,0,84,0.0397333333333334
88,158,1014.2737666666667,1018.2438000000001,1016.0607666666667,1016.6407666666667,-13,111,12,2,79,0.02003333333338997
89,159,1019.0436666666667,1022.5135,1020.7656666666667,1021.0906666666667,-13,111,10,0,69,0.019833333333326486
90,164,1049.1086333333333,1053.3836333333334,1051.3156333333334,1051.8506333333332,136,87,14,0,85,0.02500000000009095
91,165,1056.0238666666667,1059.8385,1057.9808666666668,1058.3858666666667,121,-76,22,0,76,0.014633333333403886
92,167,1065.9887666666666,1070.5443666666667,1068.2507666666666,1068.7957666666666,-115,-100,18,0,91,0.005600000000140604
93,170,1080.9437333333333,1085.0087333333333,1082.8857333333333,1083.4157333333333,121,-76,24,0,81,0.015000000000054747
94,172,1091.4336,1094.9484666666667,1093.1006,1093.5056,-115,-100,16,0,70,0.014866666666648598
95,173,1095.6536333333333,1099.9036333333333,1097.8206333333333,1098.3306333333333,121,-76,23,0,85,0.0
96,175,1108.7186000000002,1112.4186,1110.4056,1110.9156,114,91,2,2,74,-1.8207657603852567e-13
97,176,1113.5387333333333,1117.6987333333334,1115.6757333333333,1116.1407333333334,-9,110,21,0,83,0.0100000000000815
98,177,1118.4536333333333,1122.8086,1120.7706333333333,1121.2506333333333,-9,110,20,0,87,0.004966666666768482
99,179,1129.5687,1134.0443333333335,1131.6457,1132.2757000000001,-136,-23,27,0,89,0.025633333333462183
100,180,1136.0438333333334,1140.0434666666667,1138.1108333333334,1138.5858333333333,125,-18,7,2,79,0.049633333333349405
101,181,1140.9185666666667,1144.6534333333334,1142.8405666666667,1143.2055666666668,-9,110,19,0,74,0.034866666666675705
102,183,1150.9535666666668,1154.3684333333333,1152.5705666666668,1152.9355666666668,114,91,1,0,68,0.014866666666511819
103,184,1155.2286000000001,1158.4336,1156.4106000000002,1156.9056,-9,110,20,0,64,0.004999999999927063
104,185,1162.0388,1165.3785333333333,1163.2708,1163.8558,125,-18,8,0,66,0.03973333333324236
105,187,1186.0739333333333,1189.6986333333334,1187.6809333333333,1188.1559333333335,114,91,3,0,72,0.024700000000075217
106,192,1214.6185333333333,1218.0289666666667,1215.8655333333334,1216.4355333333333,125,-18,8,0,68,0.01043333333345764
107,193,1218.9085333333335,1223.0139666666666,1220.8255333333334,1221.3855333333336,-115,-100,17,1,82,0.0054333333331664235
108,194,1226.2038,1230.4335333333333,1228.2308,1228.9108,-13,111,11,0,84,0.029733333333342493
109,195,1231.2986333333333,1234.5586666666668,1232.5106333333333,1232.9956333333332,121,-76,24,0,65,0.010033333333467453
110,199,1257.6138666666668,1262.0736333333334,1259.965866666667,1260.4958666666669,136,87,15,2,89,0.009766666666609858
111,200,1262.9585,1266.3733666666667,1264.5555,1264.9205,114,91,1,0,68,0.014866666666739192
112,202,1272.7835,1277.0741333333333,1274.8405,1275.3505,-136,-23,26,0,85,0.040633333333289556
113,203,1279.7837333333334,1283.7033333333334,1281.8757333333335,1282.2607333333335,136,87,13,0,78,0.01959999999994544
114,204,1284.5985,1288.7283666666667,1286.8505,1287.2855,-13,111,10,0,82,0.02986666666665716
115,207,1299.3784666666668,1303.2489,1301.0604666666668,1301.6304666666667,125,-18,8,0,77,0.020433333333266912
116,209,1308.7234666666668,1312.2283333333335,1310.4354666666668,1310.7954666666667,-13,111,10,0,70,0.004866666666657693
117,210,1313.2184666666667,1317.5784666666668,1315.3404666666668,1316.0554666666667,125,-18,8,0,87,0.010000000000126796
118,211,1492.5283333333334,1496.7933333333333,1494.6153333333334,1495.2253333333333,-144,-52,5,0,85,0.01499999999987267
119,214,1508.6585,1512.749,1510.4355,1511.0655,125,-18,9,1,81,0.040500000000020187
120,215,1513.6435000000001,1517.0934333333335,1515.0205,1515.5405,114,91,3,0,68,0.049933333333319396
121,217,1522.8333333333335,1526.9181333333333,1525.0953333333334,1525.4853333333335,-144,-52,4,0,81,0.03479999999985939
122,218,1527.8483666666668,1530.8582000000001,1529.0103666666669,1529.430366666667,121,-76,22,0,60,0.009833333333290284
123,221,1541.8635000000002,1545.6884333333335,1543.4955000000002,1544.0805000000003,-144,-52,6,2,76,0.024933333333319485
124,222,1546.5383333333334,1550.6531333333335,1548.7353333333333,1549.2003333333334,-136,-23,25,0,82,0.014800000000058766
125,224,1557.1683333333335,1560.5281666666667,1558.6903333333335,1559.0753333333334,125,-18,7,0,67,0.009833333333199246
126,225,1561.4734333333333,1565.0284333333334,1562.9904333333334,1563.4654333333333,136,87,15,2,71,0.005000000000063398
127,226,1565.8583333333333,1569.6683,1567.5053333333333,1568.1653333333334,-13,111,11,0,76,0.009966666666695989
128,227,1570.5633,1574.2331666666666,1572.4453,1572.7953,114,91,1,0,73,0.019866666666620958
129,229,1579.8733333333334,1584.0833,1581.9003333333335,1582.5453333333335,125,-18,8,1,84,0.009966666666559654
130,231,1600.5935333333334,1603.9983,1601.9755333333335,1602.4355333333335,-9,110,20,0,68,0.0047666666665460156
131,233,1609.7883000000002,1613.8883,1611.7603000000001,1612.3553000000002,121,-76,23,0,82,-9.14823772291129e-14
132,234,1614.7833,1618.7787333333333,1616.5803,1617.1303,-115,-100,17,0,79,0.04543333333326682
133,235,1619.6383,1623.5633,1621.5153,1622.0253,136,87,14,0,78,0.02499999999995417
134,238,1637.6084,1641.5139333333334,1639.1954,1639.8554000000001,125,-18,9,0,78,0.005533333333323398
135,239,1642.3834000000002,1645.9339333333335,1643.7204000000002,1644.2604000000001,125,-18,9,0,71,0.000533333333305297
136,240,1646.7784000000001,1650.2733666666668,1648.2554000000002,1648.7004000000002,114,91,3,0,69,0.04496666666664151
137,242,1656.0733666666667,1659.4433666666666,1657.2953666666667,1657.8503666666668,125,-18,9,0,67,0.019999999999890772
138,243,1660.3682333333334,1664.2180333333333,1662.4002333333333,1662.7852333333333,-144,-52,4,0,76,0.04979999999995899
139,244,1667.6136333333334,1670.9233666666667,1668.8256333333334,1669.3256333333334,-9,110,21,0,66,0.009733333333269645
140,245,1671.6882666666668,1675.1382333333333,1673.1802666666667,1673.6352666666667,114,91,2,1,68,0.04996666666656857
141,246,1676.2234,1680.1883666666668,1678.1054000000001,1678.5954000000002,136,87,15,0,79,0.014966666666668793
142,249,1699.4832333333334,1703.3131,1701.5002333333334,1701.8502333333333,-13,111,10,0,76,0.0298666666667029
143,250,1704.0532333333333,1707.7780666666667,1705.9302333333333,1706.3502333333333,136,87,13,0,74,0.024833333333435625
144,252,1716.5433333333335,1720.6883333333335,1718.4203333333335,1719.1053333333334,-13,111,12,0,82,0.04499999999998128
145,253,1723.7434333333333,1727.4831000000001,1725.7354333333333,1726.0404333333333,-9,110,19,0,74,0.03966666666683505
146,254,1728.4182,1732.2030666666667,1730.3152,1730.7452,125,-18,7,0,75,0.03486666666663041
147,256,1738.3633333333335,1742.0533333333335,1739.8953333333334,1740.4503333333334,-144,-52,6,0,73,0.040000000000054214
148,257,1742.7833333333335,1747.2488333333333,1745.0053333333335,1745.5853333333334,125,-18,9,0,89,0.015499999999792458
149,259,1753.7933,1757.1233,1755.1253000000002,1755.5653,114,91,3,0,66,0.029999999999926974
150,260,1758.0033333333333,1761.6639,1759.2903333333334,1759.9153333333334,-115,-100,18,0,73,0.010566666666681712
151,261,1762.3832,1766.2780333333335,1764.3752,1764.8152,121,-76,22,0,77,0.044833333333508474
152,264,1776.0434,1779.4831666666666,1777.4954,1777.9654,136,87,14,1,68,0.03976666666662787
153,267,1791.5731666666668,1795.4529666666667,1793.6201666666668,1794.0251666666668,-115,-100,16,0,77,0.02979999999993188
154,269,1804.2935333333335,1807.9083,1805.8255333333334,1806.3305333333335,-9,110,21,0,72,0.014766666666582662
155,270,1811.1083666666668,1814.4830000000002,1812.700366666667,1813.065366666667,-13,111,10,0,67,0.024633333333349494
156,271,1817.5683666666669,1820.903,1819.0903666666668,1819.480366666667,-13,111,10,2,66,0.03463333333315832
157,274,1834.9281333333333,1838.4380333333334,1836.5901333333334,1837.0001333333332,-136,-23,25,0,70,0.009900000000016007
158,275,1839.2932666666668,1843.6688000000001,1841.3902666666668,1841.9352666666668,-115,-100,18,1,87,0.025533333333350505
159,276,1844.5331333333334,1848.8731333333335,1846.8851333333334,1847.3201333333334,-9,110,20,0,86,0.0400000000001457
160,277,1850.8933666666667,1854.9231,1852.9303666666667,1853.4303666666667,114,91,2,2,80,0.029733333333297196
161,278,1855.8632333333335,1859.9532333333334,1857.9102333333335,1858.3752333333334,-9,110,21,0,81,0.03999999999991832
162,281,1871.9682333333335,1876.0938666666668,1873.7852333333335,1874.3352333333335,-136,-23,27,0,82,0.025633333333325403
163,283,1884.5933333333335,1887.9979333333333,1886.2203333333334,1886.5553333333335,-13,111,10,0,68,0.004599999999845394
164,284,1901.2383333333335,1905.3279,1903.4803333333334,1903.8803333333335,-136,-23,25,0,81,0.03956666666654218
165,287,1916.0632,1919.7381666666668,1917.7102,1918.1802,114,91,3,0,73,0.024966666666704995
166,288,1920.6680666666668,1924.3578666666667,1922.540066666667,1922.925066666667,-136,-23,25,0,73,0.039799999999877045
167,290,1930.0930666666668,1934.2480666666668,1932.1900666666668,1932.7100666666668,-144,-52,5,0,83,0.00499999999997236
168,291,1935.1280666666667,1939.7330666666667,1937.5600666666667,1938.1650666666667,121,-76,23,0,92,0.005000000000017657
169,292,1940.5280666666667,1945.1587000000002,1942.9000666666668,1943.4500666666668,-136,-23,26,0,92,0.030633333333434543
170,293,1946.0480666666667,1950.2028666666668,1948.3650666666667,1948.7600666666667,-144,-52,4,0,83,0.004800000000022564
171,294,1951.0381666666667,1955.2631666666668,1953.1101666666666,1953.6701666666668,-144,-52,6,0,84,0.025000000000136247
172,296,1961.9580333333333,1965.4230333333335,1963.3200333333334,1963.9050333333332,-13,111,11,0,69,0.015000000000145342
173,297,2035.0631,2039.4531666666667,2037.3301000000001,2037.8301000000001,121,-76,24,2,87,0.04006666666659786
174,302,2067.093366666667,2070.6431000000002,2068.535366666667,2069.040366666667,136,87,15,2,70,0.049733333333279006
175,305,2082.747966666667,2086.4536000000003,2084.209966666667,2084.7699666666667,-136,-23,26,0,74,0.005633333333480373
176,311,2115.982933333333,2120.0634,2117.939933333333,2118.4349333333334,-115,-100,17,2,81,0.030466666666780107
177,312,2123.4081666666666,2127.3428,2125.5401666666667,2125.900166666667,-136,-23,25,0,78,0.03463333333329466
178,316,2143.8379333333332,2147.607766666667,2145.774933333333,2146.169933333333,125,-18,7,2,75,0.019833333333735936
179,318,2165.9379333333336,2170.1879,2168.0999333333334,2168.679933333334,-13,111,11,0,84,0.0499666666662959
180,319,2171.0879333333332,2175.112866666667,2173.0099333333333,2173.584933333333,125,-18,8,0,80,0.0249333333335926
181,320,2175.9579333333336,2179.8179333333333,2177.804933333334,2178.304933333334,136,87,14,1,77,0.009999999999672493
182,322,2185.5530333333336,2190.0486333333333,2187.6950333333334,2188.2900333333337,-136,-23,27,0,89,0.04559999999974007
183,323,2190.9229,2194.127766666667,2192.2749,2192.6699,-115,-100,16,0,64,0.004866666666930364
184,325,2200.7279000000003,2204.8778666666667,2202.8999000000003,2203.3699,114,91,2,0,82,0.049966666666386494
185,326,2205.8180333333335,2210.0630333333334,2207.9600333333333,2208.4900333333335,121,-76,24,0,84,0.04499999999989068
186,327,2212.3331333333335,2216.3777333333333,2214.5501333333336,2214.9401333333335,-144,-52,4,0,80,0.04459999999971842
187,328,2217.1928666666668,2220.9578333333334,2218.8398666666667,2219.414866666667,-144,-52,5,0,75,0.014966666666623496
188,329,2221.9579,2226.0977333333335,2224.2999,2224.6398999999997,-13,111,10,0,82,0.039833333333626264
189,332,2237.172866666667,2240.6729,2238.599866666667,2239.1548666666667,121,-76,23,0,70,3.333333324917476e-05
190,334,2246.2829666666667,2250.252966666667,2248.2599666666665,2248.689966666667,114,91,3,0,79,0.02000000000025448
191,335,2251.013,2255.7385333333336,2253.475,2254.045,125,-18,9,0,94,0.02553333333371466
192,336,2256.5828333333334,2260.6427000000003,2258.8448333333336,2259.204833333333,114,91,1,0,81,0.009866666666948909
193,337,2264.123066666667,2268.2834666666668,2266.125066666667,2266.655066666667,136,87,14,0,83,0.010399999999753717
194,339,2274.088,2277.642966666667,2275.485,2276.065,-13,111,12,0,71,0.00496666666658685
195,340,2280.9481,2285.0978333333333,2282.9951,2283.5651000000003,-144,-52,5,0,82,0.049733333333187524
196,341,2285.8728333333333,2289.0326333333333,2287.1848333333332,2287.5848333333333,-115,-100,16,0,63,0.00979999999990433
197,342,2289.8478333333333,2293.0027,2291.1948333333335,2291.574833333333,136,87,13,0,63,0.004866666666748287
198,345,2306.4629333333332,2310.4079333333334,2308.359933333333,2308.8099333333334,136,87,15,0,78,0.045000000000163354
199,346,2311.262833333333,2315.0334333333335,2312.8098333333332,2313.319833333333,-136,-23,26,2,75,0.020600000000285945
200,348,2324.0830333333333,2328.0626666666667,2326.2600333333335,2326.6250333333332,136,87,13,0,79,0.029633333333367595
201,349,2328.9728333333333,2332.4576666666667,2330.6448333333333,2331.029833333333,114,91,1,0,69,0.03483333333342653
202,350,2334.3180333333335,2338.1426666666666,2336.2500333333332,2336.7100333333333,121,-76,22,0,76,0.024633333333167418
203,351,2338.9778,2342.9878333333336,2340.9498000000003,2341.4598,121,-76,23,0,80,0.010033333333467453
204,352,2345.9330333333332,2349.6876666666667,2347.910033333333,2348.240033333333,-9,110,19,2,75,0.004633333333458722
205,354,2363.5030333333334,2366.9077666666667,2364.9200333333333,2365.4100333333336,114,91,2,1,68,0.004733333333296841
206,355,2367.7728,2370.8326333333334,2368.9798,2369.3848000000003,125,-18,7,0,61,0.009833333333244543
207,358,2385.1127666666666,2389.3934,2387.2647666666667,2387.7947666666664,-136,-23,26,1,85,0.03063333333329865
208,359,2390.377766666667,2394.2827333333335,2392.174766666667,2392.844766666667,-144,-52,5,0,78,0.0049666666664958115
209,361,2402.003,2405.727566666667,2403.965,2404.3500000000004,-144,-52,4,0,74,0.024566666666760106
210,362,2406.557766666667,2409.8475333333336,2408.029766666667,2408.444766666667,-136,-23,25,0,65,0.03976666666676465
211,363,2410.687766666667,2414.4726,2412.699766666667,2413.0597666666667,-9,110,19,0,75,0.03483333333315386
212,364,2415.202766666667,2419.252766666667,2417.314766666667,2417.779766666667,-9,110,20,0,81,1.8207657603852567e-13
213,366,2424.8279,2428.9229,2426.9549,2427.4199000000003,-9,110,21,0,81,0.04499999999980009
214,367,2429.7328666666667,2433.987866666667,2431.8998666666666,2432.4798666666666,-13,111,12,0,85,0.005000000000109139
215,368,2434.847866666667,2439.0028666666667,2436.909866666667,2437.469866666667,-144,-52,6,0,83,0.004999999999744986
216,370,2446.718066666667,2451.0834333333332,2448.930066666667,2449.4500666666668,-115,-100,18,1,87,0.015366666666431605
217,371,2457.4079666666667,2460.7977333333333,2458.7999666666665,2459.314966666667,121,-76,23,0,67,0.03976666666667361
218,373,2466.9927333333335,2470.3625666666667,2468.6247333333336,2468.9997333333336,121,-76,22,0,67,0.01983333333319015
219,375,2474.988066666667,2479.4084000000003,2477.2200666666668,2477.7750666666666,-115,-100,18,0,88,0.020333333333473647
220,376,2480.2977,2484.1631666666667,2482.1097,2482.6497,-115,-100,17,0,77,0.015466666666634321
221,379,2494.3977,2498.3324666666667,2496.5497,2496.9647,-115,-100,16,0,78,0.034766666666746104
222,381,2506.6279333333337,2510.2825000000003,2508.4899333333337,2508.9049333333337,-144,-52,4,1,73,0.00456666666659622
223,383,2515.1627000000003,2518.932566666667,2517.1147000000005,2517.5447000000004,121,-76,22,1,75,0.019866666666530364
224,385,2524.2526666666668,2528.2076666666667,2526.284666666667,2526.739666666667,136,87,14,0,79,0.004999999999927063
225,389,2547.2378000000003,2551.1578333333337,2549.0948000000003,2549.6348000000003,121,-76,24,0,78,0.02003333333332158
226,390,2551.942666666667,2555.7225333333336,2553.9596666666666,2554.349666666667,136,87,13,0,75,0.029866666666748642
227,392,2561.587666666667,2565.6276333333335,2563.594666666667,2564.164666666667,125,-18,8,0,80,0.039966666666714445
228,393,2627.2826333333333,2631.2076333333334,2629.2096333333334,2629.7096333333334,121,-76,23,0,78,0.025000000000181544
229,395,2636.6526333333336,2640.082566666667,2638.144633333334,2638.644633333334,114,91,2,0,68,0.029933333333337586
230,396,2641.0427333333337,2644.993266666667,2642.824733333334,2643.409733333334,125,-18,9,0,79,0.0005333333331689616
231,398,2651.3376000000003,2655.5226000000002,2653.4846000000002,2654.0696000000003,-144,-52,5,2,83,0.034999999999945075
232,399,2656.3976000000002,2659.567466666667,2657.7646000000004,2658.1846,-115,-100,16,0,63,0.019866666666620958
233,400,2660.4226000000003,2664.4732333333336,2662.4296000000004,2662.9446000000003,-115,-100,17,1,81,0.000633333333280639
234,405,2685.9277,2689.3027,2687.3047,2687.7897000000003,136,87,15,0,67,0.02499999999999991
235,406,2690.1676,2693.7374333333337,2691.9946000000004,2692.3696000000004,125,-18,7,0,71,0.01983333333346282
236,408,2699.9025666666666,2703.4724666666666,2701.7795666666666,2702.104566666667,-9,110,19,0,71,0.01989999999996117
237,410,2718.737666666667,2723.0826666666667,2721.079666666667,2721.5896666666667,114,91,3,0,86,0.04499999999980009
238,411,2723.9577,2728.302666666667,2726.1897,2726.7847,-144,-52,6,0,86,0.04496666666700566
239,412,2729.122566666667,2732.5174333333334,2730.774566666667,2731.144566666667,114,91,1,0,67,0.044866666666530275
240,413,2733.367566666667,2737.0673333333334,2735.2595666666666,2735.684566666667,-115,-100,16,0,73,0.049766666666618775
241,414,2737.8375333333333,2741.3625333333334,2739.3195333333333,2739.9345333333335,-13,111,11,0,70,0.02500000000009095
242,415,2742.212666666667,2746.692666666667,2744.6496666666667,2745.184666666667,136,87,15,0,89,0.030000000000018012
243,416,2747.632666666667,2752.0233000000003,2749.8146666666667,2750.364666666667,-115,-100,18,0,87,0.04063333333342545
244,417,2761.142766666667,2765.252566666667,2763.3297666666667,2763.8247666666666,-9,110,20,1,82,0.009800000000177
245,419,2770.6725333333334,2774.5975000000003,2772.604533333333,2773.1795333333334,114,91,2,0,78,0.02496666666693237
246,423,2792.9175,2796.412366666667,2794.7095,2795.0445,114,91,1,0,69,0.044866666666893984
247,424,2797.2576333333336,2801.222666666667,2799.2146333333335,2799.7196333333336,-9,110,21,0,79,0.015033333333394516
248,426,2807.2126333333335,2811.288266666667,2809.0896333333335,2809.6496333333334,-136,-23,27,0,81,0.02563333333337159
