method,seed,train_seconds,calibration_seconds,updates,training_examples,gpu_uuid,pid
nldisco,0,44.10036254208535,3.7590209739282727,1280,1305070,GPU-5a924816-0a8e-d1b5-086e-e98ffd4382bb,1951171
cebra,0,8.227550464682281,0.0,1275,1305600,GPU-5a924816-0a8e-d1b5-086e-e98ffd4382bb,1951736
langevinflow,0,135.54448354057968,0.0,1280,1305070,GPU-5a924816-0a8e-d1b5-086e-e98ffd4382bb,1951992
cebra,1,8.184030704200268,0.0,1275,1305600,GPU-5a924816-0a8e-d1b5-086e-e98ffd4382bb,1953226
langevinflow,1,132.21817079838365,0.0,1280,1305070,GPU-5a924816-0a8e-d1b5-086e-e98ffd4382bb,1953376
nldisco,1,44.42671607527882,3.7530062468722463,1280,1305070,GPU-5a924816-0a8e-d1b5-086e-e98ffd4382bb,1954164
langevinflow,2,132.76719673536718,0.0,1280,1305070,GPU-5a924816-0a8e-d1b5-086e-e98ffd4382bb,1954683
nldisco,2,43.30847432371229,3.57286006398499,1280,1305070,GPU-5a924816-0a8e-d1b5-086e-e98ffd4382bb,1959086
cebra,2,6.512115695513785,0.0,1275,1305600,GPU-5a924816-0a8e-d1b5-086e-e98ffd4382bb,1959543
nldisco,3,43.42125652451068,3.5980318626388907,1280,1305070,GPU-5a924816-0a8e-d1b5-086e-e98ffd4382bb,1959675
cebra,3,8.322083368897438,0.0,1275,1305600,GPU-5a924816-0a8e-d1b5-086e-e98ffd4382bb,1960143
langevinflow,3,131.3460209388286,0.0,1280,1305070,GPU-5a924816-0a8e-d1b5-086e-e98ffd4382bb,1960338
cebra,4,5.9457051726058125,0.0,1275,1305600,GPU-5a924816-0a8e-d1b5-086e-e98ffd4382bb,1963080
langevinflow,4,132.88518875464797,0.0,1280,1305070,GPU-5a924816-0a8e-d1b5-086e-e98ffd4382bb,1963220
nldisco,4,43.36454561073333,3.611334281042218,1280,1305070,GPU-5a924816-0a8e-d1b5-086e-e98ffd4382bb,1964297
