architecture,seed,direction,latent_idx,passes,candidate_available,selection_score,direction_selectivity,global_direction_selectivity,decoder_displacement_m,place_energy_enrichment,active_clean_windows,mse,mean_l0,parameter_count,all_top_expected_direction_fraction,all_top_clean_fraction,clean_top_expected_direction_fraction,decoder_raw_place_coactivity_excess_correlation,circular_shift_max_score_95pct,circular_shift_max_score_exceedance,all_top_ramp_clean_fraction,decoder_raw_first_pair_coactivity_excess_correlation,first_pair_decoder_peak_lag_s,first_pair_raw_excess_peak_lag_s
FlatWindow,0,right,26,True,True,0.24732239628540112,0.4724168622233986,0.06857157573855148,0.10236851687770315,165.35572814941406,338,0.15229840848404302,3.9982472247725567,514128,0.6875,0.0625,0.9375,0.9480235666867382,0.08296380464646029,0.009900990099009901,0.0,0.975385805434287,0.6999999999993634,0.6999999999993634
FlatWindow,0,left,26,False,True,0.0,0.4724168622233986,0.06857157573855148,0.10236851687770315,165.35572814941406,338,0.15229840848404302,3.9982472247725567,514128,0.3125,0.0625,0.0625,0.9480235666867382,0.0,1.0,0.0,0.975385805434287,0.6999999999993634,0.6999999999993634
FlatWindow,1,right,8,False,True,0.0,-0.05613840636599492,0.022084694698207567,-0.013461750473291872,155.6421356201172,440,0.15200672904181067,3.9939070194474584,514128,0.4375,0.1875,0.3125,0.9216631890891324,0.0,1.0,0.0625,-0.453321517069297,-0.24999999999977263,-0.3499999999996817
FlatWindow,1,left,8,False,True,0.003819387576126788,-0.05613840636599492,0.022084694698207567,-0.013461750473291872,155.6421356201172,440,0.15200672904181067,3.9939070194474584,514128,0.5625,0.1875,0.6875,0.9216631890891324,0.01050415147283978,0.27722772277227725,0.0625,-0.453321517069297,-0.24999999999977263,-0.3499999999996817
FlatWindow,2,right,27,False,True,0.0,0.02619679449549256,-0.03260891363646506,-0.013002126388774404,259.9490051269531,445,0.15193266790634144,3.99624405308405,514128,0.5625,0.0625,0.625,0.8992670569114282,0.0,1.0,0.0625,-0.5909555898715269,0.14999999999986358,0.14999999999986358
FlatWindow,2,left,27,False,True,0.0,0.02619679449549256,-0.03260891363646506,-0.013002126388774404,259.9490051269531,445,0.15193266790634144,3.99624405308405,514128,0.4375,0.0625,0.375,0.8992670569114282,0.011453956018061167,1.0,0.0625,-0.5909555898715269,0.14999999999986358,0.14999999999986358
FlatWindow,3,right,102,False,True,0.03873780149851109,0.16471836559555672,0.04245470341507674,0.050323111575683976,106.0525131225586,108,0.1523316636135558,3.994240881395543,514128,0.625,0.125,0.5,0.8831756543299122,0.04466774244325934,0.0891089108910891,0.0,0.8848627102470213,-0.049999999999954525,0.49999999999954525
FlatWindow,3,left,120,True,True,0.10294202356964861,-0.3218951524886969,-0.16112667019241914,-0.06738145444500998,114.13566589355469,78,0.1523316636135558,3.994240881395543,514128,0.6875,0.0625,0.6875,0.8429164107318557,0.07004975764498325,0.019801980198019802,0.0,0.8810395870428042,-0.7499999999993179,-0.7499999999993179
FlatWindow,4,right,111,True,True,0.4879236799448652,0.7177020853796164,0.1491427657483093,0.12330435448823296,247.02359008789062,203,0.1521254173665679,3.9987480176946835,514128,0.6875,0.3125,1.0,0.8569698231254316,0.09269918760810304,0.009900990099009901,0.125,0.8211783637256019,0.6499999999994088,0.6499999999994088
FlatWindow,4,left,92,False,True,0.0,0.5200386159653089,0.09781061185016239,0.08737332608635634,40.345787048339844,69,0.1521254173665679,3.9987480176946835,514128,0.3125,0.25,0.125,0.924420129487113,0.0,1.0,0.0625,0.9265704662946088,-0.14999999999986358,-0.14999999999986358
