step,loss,weighted_reconstruction,l0_mean,dead_feature_fraction
0,0.18119502067565918,0.18119502067565918,4.0,0.0
100,0.15645329654216766,0.15645329654216766,4.0,0.0
200,0.15495231747627258,0.15495231747627258,4.0,0.0
300,0.15351805090904236,0.15351805090904236,4.0,0.0
400,0.153886616230011,0.153886616230011,4.0,0.0
500,0.15412990748882294,0.15412990748882294,4.0,0.0
600,0.15285518765449524,0.15285518765449524,4.0,0.0
700,0.15319094061851501,0.15319094061851501,4.0,0.0
800,0.15416640043258667,0.15416640043258667,4.0,0.0
900,0.1535639464855194,0.1535639464855194,4.0,0.0
1000,0.15211136639118195,0.15211136639118195,4.0,0.0
1100,0.3051711618900299,0.15258562564849854,4.0,0.25
1200,0.30792784690856934,0.15396392345428467,4.0,0.234375
1300,0.3046698570251465,0.15233492851257324,4.0,0.28125
1400,0.3017752170562744,0.1508876085281372,4.0,0.3125
1500,0.30623239278793335,0.15311619639396667,4.0,0.3203125
1600,0.3069824278354645,0.15349121391773224,4.0,0.328125
1700,0.3022496700286865,0.15112483501434326,4.0,0.3359375
1800,0.30431804060935974,0.15215902030467987,4.0,0.34375
1879,0.3092557489871979,0.15462787449359894,4.0,0.34375
