latent_idx,left_mean_activation,right_mean_activation,right_selectivity,left_active_windows,right_active_windows,matched_position_bins,matched_windows_per_direction,global_place_energy_enrichment,global_decoder_center_displacement,decoder_center_displacement,place_energy_enrichment,pair_min_unit_energy_fraction,pair_known_place_energy_fraction,place_energy_fraction,global_left_mean_activation,global_right_mean_activation,global_right_selectivity,global_left_active_windows,global_right_active_windows,global_matched_position_bins,global_matched_windows_per_direction,right_selection_score,right_passes,left_selection_score,left_passes,is_directional_hit
0,0.028369094196118806,0.0,-0.9999999999647504,1,0,8,209,1.2763858,-0.19539973179138598,-0.08330352035846678,2.2263298,0.2893965,0.8721226,0.050497156,0.006636801952371201,0.0,-0.999999999849325,1,0,8,939,-1.0,False,-1.0,False,False
1,0.0,0.0,0.0,0,0,8,209,1.1898749,-0.30214009897423594,-0.03744646176713384,1.8941993,0.16372079,0.7959658,0.047236234,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
2,0.0,0.0,0.0,0,0,8,209,0.8970166,4.813204863729492e-06,0.0,1.7939163,0.059728466,0.9999349,0.03602907,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
3,0.0,0.0,0.0,0,0,8,209,0.48778537,0.004207988450288691,-0.20000174024466363,0.008589855,0.006612124,0.008804954,0.019919539,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
4,0.0,0.0,0.0,0,0,8,209,0.72878176,-0.10699258128841788,-0.1068720728568463,1.4572804,0.47735798,0.9998057,0.029470995,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
5,0.0,0.0,0.0,0,0,8,209,0.27836302,-1.4087827571174216e-09,-0.18052743362532928,0.00014729275,0.0,0.00026456953,0.011465478,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
6,0.0,0.0,0.0,0,0,8,209,1.7970986,-0.048352549057150196,-0.07727410282304631,2.018143,0.26440752,0.5615004,0.0696628,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
7,0.0,0.0,0.0,0,0,8,209,1.2069637,-0.08679345237134733,-0.017589567978426646,1.7153568,0.20846699,0.71060824,0.04788218,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
8,0.0,0.0,0.0,0,0,8,209,2.2639773,0.18085821307441824,0.045473851367655915,4.245744,0.27479106,0.9376738,0.08620086,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
9,0.0,0.0,0.0,0,0,8,209,1.7861038,0.0007616579450622218,-0.0468850356450477,0.0025647883,0.22040401,0.00071798405,0.06926615,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
