latent_idx,peak_position,cell_0_score,cell_0_peak_distance,cell_0_outside_mean,cell_0_hit,cell_1_score,cell_1_peak_distance,cell_1_outside_mean,cell_1_hit,cell_2_score,cell_2_peak_distance,cell_2_outside_mean,cell_2_hit,cell_3_score,cell_3_peak_distance,cell_3_outside_mean,cell_3_hit,active_samples,strongest_coactive_unit,strongest_decoder_unit,cell_0_shape_hit,cell_0_support_hit,cell_0_biology_hit,cell_1_shape_hit,cell_1_support_hit,cell_1_biology_hit,cell_2_shape_hit,cell_2_support_hit,cell_2_biology_hit,cell_3_shape_hit,cell_3_support_hit,cell_3_biology_hit
0,0.5125,0.26736508005762594,0.31249999999999994,0.8534528571226518,False,0.26372580902202525,0.11249999999999993,0.8598871228764503,False,0.3691792976543685,0.1875,0.8609631861821513,False,0.23159559660510787,0.1875,0.8639898603068875,False,6780,9,9,False,True,False,False,True,False,False,True,False,False,True,False
1,0.36250000000000004,0.2388455161350348,0.16250000000000003,0.8838720689714205,False,0.23402575788029756,0.03749999999999998,0.8897734087943816,False,0.34607669079462744,0.3374999999999999,0.8916570161592546,False,0.21035619521117832,0.3374999999999999,0.8911745748482215,False,7806,87,22,False,True,False,False,True,False,False,True,False,False,True,False
2,0.0625,0.25003084676629495,0.1375,0.8760734246834482,False,0.25432316408345834,0.3375,0.8671256582731985,False,0.3657378069093361,0.6375,0.8686130318475995,False,0.22667849125537132,0.6375,0.8731576910554745,False,8056,53,53,False,True,False,False,True,False,False,True,False,False,True,False
3,0.8125,0.22663061864454226,0.6125,0.9017758060846998,False,0.22664407342042447,0.4125,0.9003742713285984,False,0.3537949561910212,0.11250000000000004,0.882249814028689,False,0.2072220613786886,0.11250000000000004,0.8872053288630936,False,10323,12,32,False,True,False,False,True,False,False,True,False,False,True,False
4,0.3875,0.3219120503784091,0.1875,0.7854839367504455,False,0.330770097283527,0.012500000000000011,0.7881117136852138,False,0.4257327686636243,0.31249999999999994,0.8025422181764257,False,0.29630429166828054,0.31249999999999994,0.7916759218970487,False,7285,26,26,False,True,False,False,True,False,False,True,False,False,True,False
5,0.4375,0.24189165892473696,0.2375,0.8817362051429883,False,0.2403312229311415,0.03749999999999998,0.8824419910131331,False,0.3470011321901789,0.26249999999999996,0.8931456046224867,False,0.20771121712118523,0.26249999999999996,0.8939783312324835,False,10524,37,84,False,True,False,False,True,False,False,True,False,False,True,False
6,0.36250000000000004,0.24093438946594659,0.16250000000000003,0.8865331187295921,False,0.24263176919681007,0.03749999999999998,0.8841750925053515,False,0.3577343383065211,0.3374999999999999,0.8760842226805149,False,0.21371548488568604,0.3374999999999999,0.8846358098022413,False,12284,94,18,False,True,False,False,True,False,False,True,False,False,True,False
7,0.7125000000000001,0.23785895744273566,0.5125000000000002,0.8872939363196138,False,0.2358379572847482,0.3125000000000001,0.8902865971212972,False,0.3538977524584528,0.012500000000000178,0.8885687768099401,False,0.21353888365663531,0.012500000000000178,0.8831930774783993,False,8904,12,76,False,True,False,False,True,False,False,True,False,False,True,False
8,0.36250000000000004,0.27380289286890824,0.16250000000000003,0.8460304419188182,False,0.27271730002839856,0.03749999999999998,0.8463364705612896,False,0.37685608297706963,0.3374999999999999,0.8500635366100098,False,0.24202145937895225,0.3374999999999999,0.8556706413362091,False,12445,14,14,False,True,False,False,True,False,False,True,False,False,True,False
9,0.9875,0.25335238810341865,0.7875000000000001,0.8722102298221012,False,0.25360927939709166,0.5875,0.872776481590545,False,0.374087138289248,0.2875000000000001,0.8601338505327003,False,0.23012458551763892,0.2875000000000001,0.8622699358202791,False,11847,94,49,False,True,False,False,True,False,False,True,False,False,True,False
