start,position,start_position,end_position,displacement,direction,reversal,clean,first_pair_crossing,strict_first_pair_transition,purposeful_first_pair_transition,maximum_backtracking_m,net_path_efficiency,ramp_clean
0,0.512915413032451,0.5,0.5290828011434837,0.029082801143483716,1,True,False,False,False,False,0.01065902979461697,0.41504052248207296,False
5,0.5140435559105114,0.4998180272994886,0.5187615206626064,0.01894349336311779,1,True,False,False,False,False,0.019230196677410216,0.2392332389843906,False
10,0.514747291330357,0.49479419512157047,0.5073237592948465,0.012529564173276053,1,True,False,False,False,False,0.030667958045170085,0.14637660718616566,False
15,0.5150251859786134,0.49258342723495685,0.49307987199194964,0.0004964447569927866,1,True,False,False,False,False,0.04491184534806697,0.005091118654959263,False
20,0.5145853200794558,0.49130966394736264,0.47717773536253827,-0.014131928584824371,-1,True,False,False,False,False,0.048432422063254266,0.1260200781912117,False
25,0.5134822057896753,0.49016681075020174,0.4634054280590097,-0.02676138269119205,-1,True,False,False,False,False,0.048432422063254266,0.2144861487200759,False
30,0.511914899012792,0.489997981388452,0.4551662785848699,-0.03483170280358211,-1,True,False,False,False,False,0.04799373595156459,0.2639511311200016,False
35,0.5097109691726925,0.4940250214654752,0.4425660591139723,-0.051458962351502935,-1,True,False,False,False,False,0.043966695874541384,0.36616246425433524,False
40,0.5065544067209451,0.49795596541772885,0.4271173416042434,-0.07083862381348544,-1,True,False,False,False,False,0.040035751922287754,0.46587914481375536,False
45,0.5027307928146231,0.5028107232319574,0.41996916365982856,-0.08284155957212885,-1,True,False,False,False,False,0.035180994108059194,0.5367225967424988,False
50,0.4980951266481921,0.5102099578752128,0.407840227521415,-0.10236973035379782,-1,True,False,False,False,False,0.027781759464803768,0.6435240680108293,False
55,0.49243253189459574,0.5180380977947627,0.39447266766722994,-0.1235654301275328,-1,True,False,False,False,False,0.019953619545253876,0.7506274440343508,False
60,0.4857494557526018,0.5232815440001528,0.3816089890776842,-0.1416725549224686,-1,True,False,False,False,False,0.014710173339863797,0.8225470127797092,False
65,0.47816572232130133,0.5269372003882998,0.3671808541585579,-0.15975634622974194,-1,True,False,False,False,False,0.011054516951716775,0.8729430383997792,False
70,0.4696842310607444,0.5332658784441312,0.3552966951387642,-0.17796918330536698,-1,True,False,False,False,False,0.004725838895885404,0.9438112399811158,False
75,0.46039453782052986,0.5345670778571608,0.34313694718359744,-0.1914301306735634,-1,True,False,False,False,False,0.0034246394828557625,0.9606065049308771,False
80,0.45033350479337897,0.5367028311434957,0.3289465474848881,-0.2077562836586076,-1,True,False,False,False,False,0.0012888861965208998,0.9830655309518128,False
85,0.43960879509881146,0.5375765648989479,0.3197335809241201,-0.21784298397482782,-1,True,False,False,False,False,0.0005005379280303979,0.9954256201524053,False
90,0.4286109775989467,0.5363531886555778,0.3148480457261956,-0.22150514292938217,-1,True,False,False,False,False,0.0005005379280303979,0.9955009084127144,False
95,0.41745589901885793,0.536183510354824,0.31339245989909753,-0.2227910504557265,-1,True,False,False,False,False,0.00020067045109367632,0.9982018163758013,False
100,0.40642023361490226,0.5267811886726945,0.3112337707447242,-0.21554741792797033,-1,True,False,False,False,False,0.00020067045109367632,0.9981414993753164,False
105,0.39582317980490794,0.516710600861083,0.31107998347483135,-0.20563061738625166,-1,True,False,False,False,False,0.0008024903130697258,0.9903373574094996,False
110,0.3856785064514778,0.5044346151172352,0.3068416312860062,-0.19759298383122897,-1,True,False,False,False,False,0.0008024903130697258,0.9899482539495686,False
115,0.375829144682088,0.48981479906477005,0.29839505565056074,-0.1914197434142093,-1,True,False,False,False,False,0.0008024903130697258,0.9896274500031188,False
120,0.36635081067181424,0.47450666736631764,0.29155029737437,-0.18295636999194764,-1,True,False,False,False,False,0.0008024903130697258,0.989152831239504,False
125,0.3573138245798671,0.4615001125948089,0.285435820846582,-0.1760642917482269,-1,True,False,False,False,False,0.0008024903130697258,0.9887330003957496,False
130,0.34854111770307034,0.45296938798416686,0.28291646946087495,-0.1700529185232919,-1,True,False,False,False,False,0.0008024903130697258,0.9820855360482604,False
135,0.34022970027271937,0.43936542110977855,0.2805684471127354,-0.15879697399704318,-1,True,False,False,False,False,0.0008024903130697258,0.9808400417998628,False
140,0.3324615634144373,0.42608985265188143,0.2740002079447407,-0.1520896447071407,-1,True,False,False,False,False,0.0008024903130697258,0.9800119549012113,False
145,0.3245920779408716,0.41771219464672926,0.25947891448394245,-0.15823328016278682,-1,True,False,False,False,False,0.0008024903130697258,0.9807730982781377,False
