latent_idx,left_mean_activation,right_mean_activation,right_selectivity,left_active_windows,right_active_windows,matched_position_bins,matched_windows_per_direction,global_place_energy_enrichment,global_decoder_center_displacement,decoder_center_displacement,place_energy_enrichment,pair_min_unit_energy_fraction,pair_known_place_energy_fraction,place_energy_fraction,global_left_mean_activation,global_right_mean_activation,global_right_selectivity,global_left_active_windows,global_right_active_windows,global_matched_position_bins,global_matched_windows_per_direction,right_selection_score,right_passes,left_selection_score,left_passes,is_directional_hit
0,3.6407826300443076,1.763631527361117,-0.34733664889665566,212,173,8,209,550.9131,0.0003134050288768897,-0.18732022968096948,519.6467,0.048982345,0.47162312,0.95825535,2.304072284025633,1.9280461974926015,-0.08885055751039525,757,722,8,939,-1.0,False,-1.0,False,False
1,0.0,0.0,0.0,0,0,8,209,1.0668737,0.04027583345654773,0.12273811446564392,0.48676163,0.26614413,0.22812524,0.042561103,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
2,0.0,0.0,0.0,0,0,8,209,1.0413455,0.1232830339565959,0.006805378919997551,1.5651203,0.15384927,0.75148946,0.041585047,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
3,0.0,0.0,0.0,0,0,8,209,2.1650634,0.1844603271735218,0.08392863365772585,3.5825202,0.21501736,0.82734764,0.082746394,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
4,0.0,0.0,0.0,0,0,8,209,1.0822204,0.08302945484392571,-0.031137931192658397,1.6168581,0.035540212,0.7470096,0.043146905,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
5,0.0,0.0,0.0,0,0,8,209,1.7904012,0.08792804482413807,-0.0001784395022612073,2.3988814,0.09643857,0.6699285,0.069421224,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
6,0.0,0.0,0.0,0,0,8,209,1.0814017,-0.02455420986644552,0.011079778117281669,0.08502528,0.21322457,0.03931253,0.043115694,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
7,0.0,0.0,0.0,0,0,8,209,1.6545787,-0.03665177166471567,0.06668639235588414,0.27969578,0.39992476,0.08452176,0.06449448,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
8,0.0,0.0,0.0,0,0,8,209,1.274738,0.08275888399875342,0.1328639909153147,1.7277912,0.38771164,0.6777044,0.05043528,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
9,0.0,0.0,0.0,0,0,8,209,1.5693691,-0.044836228411686996,0.07499561076914213,0.87818307,0.23728146,0.2797886,0.061376914,0.008535623709106852,0.0,-0.9999999998828439,9,0,8,939,-1.0,False,-1.0,False,False
10,4.059959864502318,0.9770340742677023,-0.6120566805738148,218,133,8,209,2726.1824,0.29999998554434726,-0.4,3901.175,0.0,0.7155015,0.99127424,2.6214628384643976,3.346516555268417,0.12149065353095925,771,757,8,939,-1.0,False,-1.0,False,False
11,0.0,0.0,0.0,0,0,8,209,1.020389,-0.01926332269541764,-0.08470722889112137,1.1789262,0.44599554,0.57768476,0.040782295,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
12,0.0,0.0,0.0,0,0,8,209,0.8359679,-0.1149556868605685,-0.04974920199927724,0.6980861,0.48714846,0.41753164,0.033659562,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
13,0.0,0.0,0.0,0,0,8,209,1.7375597,-0.11859340460795098,0.02022145344752979,2.2740803,0.042750582,0.6543892,0.06751066,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
14,0.0,0.0,0.0,0,0,8,209,2.076478,-0.10372065095172778,-0.021086598540070944,0.47720224,0.17411311,0.11490665,0.0796303,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
15,0.0,0.0,0.0,0,0,8,209,0.9030149,0.16539311038733717,-0.054064587726939395,0.78195304,0.35132706,0.43296796,0.036261275,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
16,0.0,0.0,0.0,0,0,8,209,2.1931846,0.15672689202516038,0.1203770039192047,3.3201647,0.3403307,0.7569277,0.083731174,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
17,0.0,0.0,0.0,0,0,8,209,1.0023507,-0.01959609830671083,0.06490378899829269,1.8346274,0.099586286,0.91516244,0.040090263,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
18,0.0,0.0,0.0,0,0,8,209,1.0766035,-0.15832150170730253,-0.029625182526670624,0.5619096,0.25781688,0.26096404,0.04293259,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
19,0.0,0.0,0.0,0,0,8,209,1.4129637,0.017519337153451164,0.020509767832542658,2.7948604,0.08585901,0.9890065,0.055600114,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
20,0.0,0.0,0.0,0,0,8,209,1.1410054,0.012218572476471401,-0.1352693676279166,1.2797055,0.27307996,0.5607797,0.04538425,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
21,0.0,0.0,0.0,0,0,8,209,2.4578302,0.02619045181727564,-0.035744847492825194,1.2933781,0.17014517,0.26311377,0.09289616,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
22,0.0,0.0,0.0,0,0,8,209,2.4388297,0.10771820033915763,-0.036067056010123055,2.9590127,0.13866298,0.60664606,0.09224426,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
23,0.0,0.0,0.0,0,0,8,209,0.8279206,-0.26991874695961726,0.07960273396291864,0.9957177,0.45527428,0.6013364,0.033346355,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
24,0.0,0.0,0.0,0,0,8,209,1.356681,0.04970006194920723,0.045139692967551936,2.5947855,0.3977082,0.9562991,0.05350388,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
25,0.0,0.0,0.0,0,0,8,209,2.8757558,0.0028091422208231798,0.05059665973193078,0.39873058,0.050958037,0.069326214,0.107001856,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
26,0.0,0.0,0.0,0,0,8,209,2.1157908,0.16147038716760775,-0.13100074679074714,1.1138567,0.0889245,0.2632247,0.08101579,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
27,0.0,0.0,0.0,0,0,8,209,2.1468482,-0.14112469111862902,0.019400082641101046,1.4884461,0.41983902,0.34665847,0.08210728,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
28,0.0,0.0,0.0,0,0,8,209,0.5491545,-0.07973283854027235,0.06856028680323911,0.5017908,0.4291565,0.4568758,0.02236959,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
29,0.0,0.0,0.0,0,0,8,209,0.9912561,-0.007240577311721452,0.04714636774044478,0.33162773,0.121774666,0.16727652,0.03966411,0.0,0.0014765224329278239,0.999999999322733,0,2,8,939,-1.0,False,-1.0,False,False
30,0.0,0.0,0.0,0,0,8,209,0.95530224,0.23612875330130612,-0.00524751282850594,0.6448612,0.14302287,0.33751687,0.03828053,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
31,0.0,0.0,0.0,0,0,8,209,1.1524364,-0.2834999581790302,0.05536387829098388,0.88921374,0.43994233,0.3857973,0.04581808,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
32,0.0,0.0,0.0,0,0,8,209,1.6274079,0.14566197937859277,0.024686211755239607,1.1974268,0.49924675,0.36789387,0.06350265,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
33,0.0,0.0,0.0,0,0,8,209,0.98613775,0.012534666854009613,-0.0455570624768441,0.16586575,0.40008244,0.08409867,0.03946739,0.0,0.0,0.0,0,0,8,939,-1.0,False,-1.0,False,False
