step,loss,weighted_reconstruction,l0_mean,dead_feature_fraction
0,0.18023255467414856,0.18023255467414856,4.0,0.0
100,0.15969200432300568,0.15969200432300568,4.0,0.0
200,0.1571970283985138,0.1571970283985138,4.0,0.0
300,0.15497295558452606,0.15497295558452606,4.0,0.0
400,0.15475919842720032,0.15475919842720032,4.0,0.0
500,0.1547403484582901,0.1547403484582901,4.0,0.0
600,0.15469753742218018,0.15469753742218018,4.0,0.0
700,0.1532948762178421,0.1532948762178421,4.0,0.0
800,0.15386992692947388,0.15386992692947388,4.0,0.0
900,0.1542360782623291,0.1542360782623291,3.82421875,0.0
1000,0.15500666201114655,0.15500666201114655,4.0,0.015625
1100,0.3071000874042511,0.15355004370212555,4.0,0.078125
1200,0.3089616894721985,0.15448084473609924,4.0,0.3515625
1300,0.30823415517807007,0.15411707758903503,4.0,0.421875
1400,0.30913883447647095,0.15456941723823547,4.0,0.453125
1500,0.3085976243019104,0.1542988121509552,4.0,0.4453125
1600,0.3064994215965271,0.15324971079826355,4.0,0.4921875
1700,0.30946627259254456,0.15473313629627228,4.0,0.53125
1800,0.30617645382881165,0.15308822691440582,4.0,0.5390625
1879,0.3054153323173523,0.15270766615867615,4.0,0.5546875
