seed,target,n_shape_passing,n_biology_passing,n_all_criteria_passing,largest_min_expected_unit_decoder_loading
0,cell_0,1,1,1,0.8923874555937394
0,cell_1,0,0,0,0.20072771983701213
0,cell_2,3,1,1,0.8936684685287621
0,cell_3,3,1,1,0.8960719524481561
1,cell_0,1,1,1,0.9436041509228094
1,cell_1,2,1,1,0.8510452565942949
1,cell_2,3,1,1,0.9127723450697434
1,cell_3,3,1,1,0.9215025765682833
2,cell_0,4,2,2,0.6588944461653347
2,cell_1,0,0,0,0.17254280970423166
2,cell_2,2,1,1,0.8881667500423955
2,cell_3,2,1,1,0.9184416446137471
3,cell_0,2,1,1,0.7957074445651038
3,cell_1,1,1,1,0.9087953702013998
3,cell_2,6,1,1,0.9129595354968256
3,cell_3,4,2,2,0.8668227336615086
4,cell_0,1,1,1,0.9398523915154143
4,cell_1,0,0,0,0.051537437651740875
4,cell_2,0,0,0,0.07796121145447696
4,cell_3,0,0,0,0.0781706238269914
5,cell_0,2,2,2,0.9100482119905479
5,cell_1,1,0,0,0.07418077511195582
5,cell_2,3,1,1,0.7985149325885474
5,cell_3,4,2,2,0.8851742247961323
6,cell_0,1,1,1,0.8576326835834887
6,cell_1,2,1,1,0.9028800655185413
6,cell_2,2,1,1,0.922850036867371
6,cell_3,1,0,0,0.04558312480320522
7,cell_0,1,1,1,0.9332210616340089
7,cell_1,2,2,2,0.819643197419825
7,cell_2,2,0,0,0.07737136696405403
7,cell_3,2,1,1,0.9596318035340904
8,cell_0,1,0,0,0.31134068438938767
8,cell_1,3,2,2,0.7753594878408636
8,cell_2,5,1,1,0.8527986232280866
8,cell_3,4,2,2,0.9260432640966908
9,cell_0,3,2,2,0.5830549086989728
9,cell_1,2,1,1,0.8618220871675695
9,cell_2,3,1,1,0.8518769963053328
9,cell_3,3,1,1,0.9106650719157969
