pc,direction,pool,orientation,n,preferred,clean_crossings,first_pair_mean_position,mean_position,starts_raw
1,forward,unrestricted,1,16,9,0,14,0.36038165104846953,"6175,18340,44065,55870,45770,22490,59815,34620,42085,31995,28890,21125,48985,49290,1130,41250"
1,forward,clean_crossing,1,16,9,16,16,0.3239811408450891,"18260,38805,24320,18625,31070,48610,54395,32530,28855,50915,58930,55930,9190,55020,42020,43780"
1,backward,unrestricted,-1,16,5,0,0,0.7103187161476124,"8175,8755,51475,3200,26800,23590,40615,9740,11910,25625,17075,33285,17480,29700,27550,7265"
1,backward,clean_crossing,-1,16,8,16,16,0.3470763867392126,"45505,11005,39080,44825,8065,25350,12290,49115,32340,31785,41440,11500,29980,3355,20570,47835"
2,forward,unrestricted,-1,16,11,0,0,0.13255304240994176,"56550,46660,56065,56445,4105,47810,42845,20735,33950,49745,50635,10460,46090,46975,35225,39155"
2,forward,clean_crossing,-1,16,7,16,16,0.2326769064575634,"47835,49115,36795,32340,4025,25305,25120,20815,12255,57600,7070,10625,39115,56595,28030,53375"
2,backward,unrestricted,1,16,8,0,12,0.39501977641587727,"6175,18340,22530,55870,44070,59815,45770,48050,125,48975,32020,34620,8175,21110,42085,16010"
2,backward,clean_crossing,1,16,6,16,16,0.3549106258397564,"18260,18630,24325,48590,31070,54400,44645,55005,38810,50915,43780,2135,43270,47440,28855,4235"
3,forward,unrestricted,-1,16,0,0,0,0.5050142234644043,"59690,48565,11245,43725,33515,3930,36710,48000,70,44600,25045,50525,45100,34555,14050,31750"
3,forward,clean_crossing,-1,16,15,16,16,0.2673851780459872,"18605,28840,43250,9330,18235,54355,48590,38795,50220,2090,45615,13405,31270,24290,47855,7080"
3,backward,unrestricted,1,16,2,1,2,0.46355784270766665,"5775,44125,6225,18675,22575,35835,29065,3570,55925,48635,43315,55465,8095,45295,13470,57830"
3,backward,clean_crossing,1,16,16,16,16,0.2600739548252162,"48635,55930,36775,44685,47470,43795,31110,25105,4005,45845,50585,58950,49095,55050,9210,32325"
4,forward,unrestricted,-1,16,7,0,0,0.7170669649494092,"3165,19045,9705,30095,25895,8125,40965,31670,6505,35845,26170,33230,37745,11185,7205,51425"
4,forward,clean_crossing,-1,16,16,16,16,0.2760958518611596,"43250,18605,54760,28840,9330,18235,47855,13410,54360,24315,56595,42020,7090,38795,3510,50220"
4,backward,unrestricted,1,16,7,0,1,0.6872831097322742,"3220,44440,44120,32790,45375,9790,25960,26865,3655,8825,11975,21785,55925,6565,17525,52490"
4,backward,clean_crossing,1,16,16,16,16,0.2889596175125736,"55930,45505,47465,31810,36765,48635,43790,31110,44675,29865,57585,39080,32325,25105,49095,4005"
5,forward,unrestricted,1,16,9,1,10,0.34577068766652996,"5695,44065,49990,21185,10665,35590,35850,11325,36790,43715,12530,25030,18690,48655,35405,47165"
5,forward,clean_crossing,1,16,4,16,16,0.2504079677236278,"36790,4005,55930,47475,7080,32520,48635,25115,49105,57600,32335,50220,50585,54350,58955,43795"
5,backward,unrestricted,-1,16,10,4,8,0.39096020138975246,"44100,10700,43750,36745,48600,100,3960,48025,12570,55430,25075,5740,11275,15975,14080,35545"
5,backward,clean_crossing,-1,16,10,16,16,0.3669076518874739,"48600,25075,11275,14080,44645,13435,50550,2140,8055,47440,5950,57565,20570,29980,35800,7110"
6,forward,unrestricted,1,16,5,0,1,0.4855222651418536,"44135,15930,15570,32250,47985,5790,16090,4330,47395,65,48370,3925,33510,36710,21810,52170"
6,forward,clean_crossing,1,16,7,16,16,0.2493084960848647,"9330,57600,54350,55930,44685,4005,18595,43250,2090,7480,32335,7080,36785,25115,3495,49105"
6,backward,unrestricted,-1,16,8,1,14,0.3091422390305774,"44095,50030,35540,21220,42655,13215,8195,28210,48605,5745,6805,46180,48025,47210,34925,10145"
6,backward,clean_crossing,-1,16,9,16,16,0.344708282568573,"48605,11285,50555,5950,51300,29860,9630,47880,25075,13430,14085,47440,50260,31785,4220,56605"
7,forward,unrestricted,1,16,6,0,0,0.7292675663321053,"5860,30065,19110,50440,3255,17555,35915,15305,7200,12950,36630,45380,18070,23665,27000,58050"
7,forward,clean_crossing,1,16,8,16,16,0.2932886155140869,"47465,25320,47840,8055,31820,56595,29975,43240,7090,39080,4010,25105,58960,50240,55005,43790"
7,backward,unrestricted,-1,16,10,0,0,0.691397119307948,"19070,5825,11220,19635,30120,56735,24490,35865,12915,32745,3890,3185,15265,20515,45460,50485"
7,backward,clean_crossing,-1,16,9,16,16,0.334420161569166,"28845,31070,47440,18255,7455,28020,12290,54385,18625,2140,57570,29850,50265,44650,48620,9210"
8,forward,unrestricted,-1,16,6,1,10,0.37405606027192995,"44080,16110,48015,34150,15595,7105,47415,21195,10750,55415,36730,32195,34380,35595,14460,45715"
8,forward,clean_crossing,-1,16,10,16,16,0.32494380633710856,"7105,43800,44810,50545,41415,24295,47865,32540,2125,9615,18235,18630,35785,36790,29850,48590"
8,backward,unrestricted,1,16,9,0,11,0.36957676556038066,"44045,48045,41240,7130,41380,48895,43770,10715,55910,16145,35555,15635,51910,18660,15990,32220"
8,backward,clean_crossing,1,16,12,16,16,0.29726180094823323,"7075,50570,47445,57580,48625,36765,11290,32505,25085,18260,7460,14100,31800,44665,39100,21550"
9,forward,unrestricted,-1,16,7,0,2,0.5597735003203302,"11240,16645,41030,3595,30150,5760,25965,57300,36685,17720,48105,39240,17515,29395,19545,35505"
9,forward,clean_crossing,-1,16,10,16,16,0.3065448137989819,"31790,54355,9630,47880,11285,18600,43110,37575,13425,54760,38805,35800,53360,2090,55010,50570"
9,backward,unrestricted,1,16,8,0,3,0.5803897019705143,"3605,11245,30125,34545,55405,12380,23020,31765,32110,12725,42160,59625,32590,8775,26270,24670"
9,backward,clean_crossing,1,16,10,16,16,0.3256168212009932,"44815,9620,11280,57800,55020,10990,49100,28000,47885,44645,29850,53365,45510,48110,43245,32315"
